fecha,periodo,anio,trimestre,pib_real,importaciones_reales,exportaciones_reales,itcrm,pib_socios_indice,commodity_price_index,ln_pib_real,ln_importaciones_reales,ln_exportaciones_reales,ln_itcrm,ln_pib_socios,ln_commodity_price_index,d_ln_pib_real,d_ln_importaciones_reales,d_ln_exportaciones_reales,d_ln_itcrm,d_ln_pib_socios,d_ln_commodity_price_index,crecimiento_pib_aprox,crecimiento_importaciones_aprox,crecimiento_exportaciones_aprox,variacion_itcrm_aprox,crecimiento_pib_socios_aprox,variacion_commodities_aprox,trimestre_factor,dummy_q2,dummy_q3,dummy_q4,dummy_crisis_global,dummy_crisis_2018,dummy_covid
2011-10-01,2011 Q4,2011,4,703050.4564079925,198767.51540656987,164054.87715450366,112.52451640893264,131.02844805712024,125.03358844213334,13.463183941201587,12.199891156465346,12.007956267630375,4.723171121537526,4.875414460366547,4.828582408743964,-0.011830644465996798,-0.06613846176742477,-0.052173716574996476,-0.08063354203538253,0.009815803763983055,-0.05518882788678248,-1.1830644465996798,-6.613846176742477,-5.217371657499648,-8.063354203538253,0.9815803763983055,-5.518882788678248,Q4,0,0,1,0,0,0
2012-01-01,2012 Q1,2012,1,672685.9936305042,175963.63222419753,145984.1028063894,111.52249009795474,129.99544440796174,131.42297761537665,13.419033922673854,12.07803261757853,11.89125300987434,4.714226275474864,4.867499406825883,4.878420958459867,-0.04415001852773237,-0.12185853888681564,-0.11670325775603452,-0.008944846062661327,-0.007915053540664019,0.04983854971590329,-4.415001852773237,-12.185853888681564,-11.670325775603452,-0.8944846062661327,-0.7915053540664019,4.983854971590329,Q1,0,0,0,0,0,0
2012-04-01,2012 Q2,2012,2,730838.2725927759,168790.03309891451,155692.76464038188,103.257584791302,131.82971152731503,123.24908882980667,13.501947472931292,12.036410813778188,11.955639886866814,4.637226689591501,4.881511025550197,4.814207420033863,0.08291355025743741,-0.04162180380034286,0.06438687699247403,-0.07699958588336298,0.014011618724314445,-0.06421353842600386,8.29135502574374,-4.162180380034286,6.438687699247403,-7.6999585883362975,1.4011618724314445,-6.421353842600386,Q2,1,0,0,0,0,0
2012-07-01,2012 Q3,2012,3,703461.6525301962,194333.56638199877,164111.32295096805,100.68640939862051,133.5057644834285,124.57665091101667,13.463768644498922,12.177331375885064,12.008300275008361,4.612010829331622,4.89414465655924,4.824921196425767,-0.03817882843237008,0.1409205621068761,0.05266038814154683,-0.02521586025987954,0.012633631009042467,0.010713776391903629,-3.817882843237008,14.092056210687609,5.266038814154683,-2.521586025987954,1.2633631009042467,1.0713776391903629,Q3,0,1,0,0,0,0
2012-10-01,2012 Q4,2012,4,706958.0390823188,193210.37317505115,153813.21961273107,101.28646579461183,133.56687188603092,124.77757746632666,13.468726592455889,12.171534890701476,11.943494285628642,4.617952797142212,4.894602265429242,4.826532772055379,0.004957947956967246,-0.005796485183587663,-0.06480598937971926,0.0059419678105898655,4.576088700023462e-4,0.0016115756296120054,0.4957947956967246,-0.5796485183587663,-6.480598937971926,0.5941967810589865,0.04576088700023462,0.16115756296120054,Q4,0,0,1,0,0,0
2013-01-01,2013 Q1,2013,1,677085.5291731509,176602.613153124,131767.05473088424,102.87197275489662,134.45640931667893,126.59558237524666,13.425552879473315,12.08165736405908,11.788790905698727,4.633485232123409,4.901240052212201,4.840997614750911,-0.043173712982573775,-0.08987752664239679,-0.15470337992991468,0.015532434981197163,0.006637786782959232,0.014464842695532276,-4.3173712982573775,-8.987752664239679,-15.470337992991468,1.5532434981197163,0.6637786782959232,1.4464842695532276,Q1,0,0,0,0,0,0
2013-04-01,2013 Q2,2013,2,776486.60279942,190652.1070945469,168720.23462672776,100.8610373237707,135.88446370167543,117.94242023755,13.56253466810513,12.158205617385908,12.035997205779521,4.613743701384217,4.91180499307425,4.770196541283886,0.13698178863181454,0.07654825332682869,0.24720630008079425,-0.019741530739191937,0.010564940862048289,-0.07080107346702569,13.698178863181454,7.654825332682869,24.720630008079425,-1.9741530739191937,1.0564940862048289,-7.080107346702569,Q2,1,0,0,0,0,0
2013-07-01,2013 Q3,2013,3,721458.9442161823,202951.05150852748,159733.6322501896,97.67574741141982,136.6692784189809,121.08771190784333,13.48903075220373,12.220720103374722,11.981262908462783,4.581653292935608,4.91756398123043,4.796515174789938,-0.07350391590139971,0.06251448598881382,-0.05473429731673818,-0.03209040844860844,0.005758988156180145,0.02631863350605279,-7.350391590139971,6.251448598881382,-5.473429731673818,-3.2090408448608443,0.5758988156180145,2.631863350605279,Q3,0,1,0,0,0,0
2013-10-01,2013 Q4,2013,4,706597.3450225069,190526.07736575845,137569.02973944266,100.0569830049666,137.17026515002536,120.78779606454,13.468216256502028,12.15754435323954,11.831881104580294,4.605739853746264,4.921222965491475,4.794035254441455,-0.020814495701701574,-0.06317575013518173,-0.14938180388248945,0.0240865608106553,0.003658984261045717,-0.002479920348483766,-2.0814495701701574,-6.317575013518173,-14.938180388248945,2.40865608106553,0.3658984261045717,-0.24799203484837662,Q4,0,0,1,0,0,0
2014-01-01,2014 Q1,2014,1,671066.0466350627,174142.8791751422,119113.81889969678,111.60973802674842,137.8580107983568,120.8032223691,13.416622841266465,12.067631385926541,11.68783477631796,4.715008304444623,4.926224248210483,4.7941629603858305,-0.05159341523556371,-0.08991296731299947,-0.1440463282623341,0.10926845069835966,0.0050012827190073494,1.2770594437583327e-4,-5.159341523556371,-8.991296731299947,-14.40463282623341,10.926845069835966,0.5001282719007349,0.012770594437583327,Q1,0,0,0,0,0,0
