paso,script,advertencias,frecuencia
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""minimo_p_serial""` instead of `.data$minimo_p_serial` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""model_key""` instead of `.data$model_key` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""model_label""` instead of `.data$model_label` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""model_role""` instead of `.data$model_role` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""normality_p_value""` instead of `.data$normality_p_value` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""note""` instead of `.data$note` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""observations""` instead of `.data$observations` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""p""` instead of `.data$p` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""p_AIC""` instead of `.data$p_AIC` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""p_FPE""` instead of `.data$p_FPE` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""p_HQ""` instead of `.data$p_HQ` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""p_SC""` instead of `.data$p_SC` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""p_selected""` instead of `.data$p_selected` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""p_start""` instead of `.data$p_start` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""p_value""` instead of `.data$p_value` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""pt_lag""` instead of `.data$pt_lag` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""pt_p_value""` instead of `.data$pt_p_value` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""season""` instead of `.data$season` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""seasonal_johansen""` instead of `.data$seasonal_johansen` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""selection_formal""` instead of `.data$selection_formal` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""selection_reason""` instead of `.data$selection_reason` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""serial_clean_10pct""` instead of `.data$serial_clean_10pct` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""statistic""` instead of `.data$statistic` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""variant""` instead of `.data$variant` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""variant_label""` instead of `.data$variant_label` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""vecm_short_run_lags""` instead of `.data$vecm_short_run_lags` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,"Use of .data in tidyselect expressions was deprecated in tidyselect 1.2.0. ℹ Please use `""white_p_value""` instead of `.data$white_p_value` This warning is displayed once per session. Call `lifecycle::last_lifecycle_warnings()` to see where this warning was generated.",1
10,script10_selection_diagnostics.R,package ‘strucchange’ was built under R version 4.3.2,1
10,script10_selection_diagnostics.R,package ‘vars’ was built under R version 4.3.2,1
