"system","model_key","response","shock","horizon","share","status","message"
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",11,0.0321847380802356,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_pib_socios","d_ln_itcrm",12,0.0321810660010649,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",1,0.0307950955882953,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",2,0.0581675812118672,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",3,0.0558859160014494,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",4,0.0589098105948289,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",5,0.0713478096886544,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",6,0.0710954291753523,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",7,0.0725684314638196,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",8,0.0783955758883614,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",9,0.0853829869294969,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",10,0.0853369493750541,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",11,0.0857584671486959,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_exports_real",12,0.0878617370952048,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",1,0.00459025654208572,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",2,0.0208311749236846,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",3,0.0598504068969149,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",4,0.0807139557588342,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",5,0.0799085469240091,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",6,0.0828308274847927,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",7,0.0831324274491965,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",8,0.0835299192291372,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",9,0.0829013291336378,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",10,0.0842293737430647,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",11,0.0840885346235578,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_pib_socios",12,0.0848858630585477,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",1,0.964614647869619,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",2,0.921001243864448,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",3,0.884263677101636,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",4,0.860376233646337,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",5,0.848743643387337,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",6,0.846073743339855,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",7,0.844299141086984,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",8,0.838074504882502,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",9,0.831715683936865,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",10,0.830433676881881,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",11,0.830152998227746,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",12,0.827252399846248,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
