"system","model_key","response","shock","horizon","share","status","message"
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",1,0.964614647869619,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",2,0.921001243864448,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",3,0.884263677101636,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",4,0.860376233646337,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",5,0.848743643387337,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",6,0.846073743339855,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",7,0.844299141086984,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",8,0.838074504882502,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",9,0.831715683936865,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",10,0.830433676881881,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",11,0.830152998227746,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports","exports_var_diff_class_fevd","d_ln_itcrm","d_ln_itcrm",12,0.827252399846248,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",1,1,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",2,0.962186885251537,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",3,0.919903251676168,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",4,0.812741913039157,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",5,0.802540172036933,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",6,0.810906493368241,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",7,0.799368241606554,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",8,0.774480809514923,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",9,0.77295816178277,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",10,0.779447058983987,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",11,0.775315575528472,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_exports_real",12,0.764706401256444,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_pib_socios",1,0,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_pib_socios",2,0.034321453311702,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_pib_socios",3,0.0675797498457262,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_pib_socios",4,0.0643312911384176,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_pib_socios",5,0.0767036503430989,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_pib_socios",6,0.0739275046695428,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
"exports_augmented","exports_augmented_var_diff_class_fevd","d_ln_exports_real","d_ln_pib_socios",7,0.0782938274626292,"ok","Descomposicion de varianza calculada con vars::fevd como en clase."
